Location name,Amount spent (AUD)
Australian Capital Territory,815
Jervis Bay Territory,≤100
New South Wales,16985
Norfolk Island,≤100
Northern Territory,412
Queensland,11660
South Australia,3763
Tasmania,1072
Unknown,≤100
Victoria,16374
Western Australia,5268
