Page ID,Page name,Disclaimer,Amount spent (HUF),Number of ads in Library
543788999005363,ORIGO,Mediaworks Hungary Zrt.,271896,17
191461774219575,hirado.hu,hirado.hu,120710,36
286759004682537,Tranzit,Kommentár Alapítvány,113936,1
109503892404998,Világgazdaság,Mediaworks Hungary Zrt.,109811,9
1534911313439123,Ripost,Ripost,95946,7
169599166463839,Demokratikus Koalíció,Demokratikus Koalíció,77730,44
326635018181862,Magyar Nemzet,Mediaworks Hungary Zrt.,62668,7
248172631940,Mandiner,Mediaworks Hungary Zrt.,52026,7
178362315106,European Parliament,European Parliament,49433,10
153992771336740,Origo Sport,Mediaworks Hungary Zrt.,43400,6
193702058028595,Lázár János,Lázár János hivatalos oldala,37773,2
331580946799,Borsonline - Bors Szórakoztató Napilap,Borsonline - Bors Szórakoztató Napilap,33287,3
264517713636590,PestiSracok.hu,PestiSrácok.hu,31890,8
1265353903615539,Oeconomus,Oeconomus,26318,20
537817739693723,Brain Bar,Brain Bar,26110,9
108346693873484,Győrffy Balázs,Győrffy Balázs,23812,5
193640214178356,Gyopáros Alpár,Gyopáros Alpár,22705,6
47198507012,LMP - Magyarország Zöld Pártja,LMP - Magyarország Zöld Pártja,19743,2
592204747588011,Momentum Mozgalom,Momentum Mozgalom,18643,1
265672590604606,Makronóm.Blog,Makronóm.Blog,17380,12
1920158678081160,Nemzetpolitikai Államtitkárság,Nemzetpolitikai Államtitkárság,16201,2
289633770813,UNICEF Magyarország,UNICEF Magyar Bizottság Alapítvány,15914,43
1321667124617769,Dr. Kovács Zoltán,Dr. Kovács Zoltán,14517,2
303640261940,Nemzeti Sport Online,Mediaworks Hungary Zrt.,14399,3
123910440019,Renew Europe,Renew Europe Group,14014,2
112872841638481,Jászberény többet érdemel,Jászságszava,14000,10
131283758531,HVG,HVG Kiadó ZRt.,13748,10
851784814892644,Simicskó István,KDNP frakció,12786,3
102426795954406,Nobilis Márton,Nobilis Márton,11478,17
447204268797621,RTL.hu,RTL.HU,11414,43
162344823835042,atlatszo.hu,atlatszo.hu,11127,6
108248022589754,Bosch Magyarország,Bosch Magyarország,11094,9
134499066699216,Nyíregyháza MJV,Nyíregyháza MJV,9907,3
167604093409160,Promenad24,Dél-alföldi Média Centrum Kft.,9692,1
103922897650335,Bakos Bernadett,LMP - Magyarország Zöld Pártja,9543,5
451844608304228,Metropol,Metropol,9536,1
506348326210466,Ungár Péter,LMP - Magyarország Zöld Pártja,8111,5
142116653162328,Márki-Zay Péter,Márki-Zay Péter,7988,16
35634348348,Greenpeace Magyarország,Greenpeace Magyarország,7626,3
125953004085398,Kemma.hu,Kemma.hu,7225,2
887921287887805,Király Nóra,Király Nóra,7182,3
490030231058740,444,Magyar Jeti Zrt - 444.hu,7154,7
191946490841225,Dúró Dóra,Mi Hazánk Mozgalom,7101,1
1215492498464496,Angyal Károly,Angyal Károly,6993,4
152408681635243,Hírklikk.hu,Hírklikk.hu,6925,1
423317774385144,Magyar Demokrata hetilap,Demokrata,6745,2
126893087354793,Európai Parlament,Európai Parlament,6657,6
203158929827,Beol.hu Békés vármegyei online,Mediaworks Hungary Zrt.,6470,1
308871671705,BAON Bács-Kiskun vármegyei Online,Mediaworks Hungary Zrt.,6244,1
122922027734811,feol.hu,Mediaworks Hungary Zrt.,6104,1
189020783523,Mathias Corvinus Collegium - MCC,Mathias Corvinus Collegium Alapítvány,5828,6
191946490841225,Dúró Dóra,Dúró Dóra,5503,1
1926735160968885,Válasz Online,Válasz Online,5493,5
172936669443469,Dunaújvárosi Hírlap - duol.hu,Dunaújvárosi Hírlap - duol.hu,5366,1
1408906262689093,Nyitrai Zsolt,Fidesz,5317,3
1237616006358749,Kékes Online,Kékes Online,5240,10
1584646591763647,Kanász-Nagy Máté,LMP - Magyarország Zöld Pártja,5202,4
143151351544,Színházi Olimpia 2023 / Theatre Olympics 2023,Szinházi Olimpia Nonprofit Kft.,5056,8
146599018696771,NATO,NATO,4988,1
