Location name,Amount spent (PKR)
Azad Kashmir,454
Balochistan,1681
Federally Administered Tribal Areas,336
Gilgit-Baltistan,452
Islamabad Capital Territory,1625
Khyber Pakhtunkhwa,5221
Punjab,19694
Sindh,11210
Unknown,≤100
