Location name,Amount spent (USD)
Azuay Province,561
Bolívar Province,≤100
Carchi Province,≤100
Cañar Province,≤100
Chimborazo Province,136
Cotopaxi Province,155
El Oro Province,592
Esmeraldas Province,247
Galápagos Province,≤100
Guayas Province,2370
Imbabura Province,172
Loja Province,108
Los Ríos Province,999
Manabí Province,1044
Morona-Santiago Province,≤100
Napo Province,≤100
Orellana Province,116
Pastaza Province,≤100
Pichincha Province,1203
Santa Elena Province,143
Santo Domingo de los Tsáchilas Province,1050
Sucumbíos Province,≤100
Tungurahua Province,202
Unknown,≤100
Zamora-Chinchipe Province,≤100
