Location name,Amount spent (MXN)
Aguascalientes,9253
Baja California,22832
Baja California Sur,3055
Campeche,19410
Chiapas,11038
Chihuahua,12376
Coahuila de Zaragoza,199533
Colima,3573
Distrito Federal,65262
Durango,13217
Guanajuato,21633
Guerrero,6299
Hidalgo,6566
Jalisco,56447
Michoacán de Ocampo,18659
Morelos,17015
Nayarit,8104
Nuevo León,30267
Oaxaca,9732
Puebla,32003
Querétaro Arteaga,7947
Quintana Roo,25245
San Luis Potosi,6342
Sinaloa,5591
Sonora,15376
State of Mexico,170771
Tabasco,6301
Tamaulipas,20611
Tlaxcala,3268
Unknown,≤100
Veracruz,27408
Yucatán,16951
Zacatecas,3757
