Location name,Amount spent (RON)
Alba County,620
Arad County,639
Argeș County,797
Bacău County,724
Bihor County,992
Bistrița-Năsăud County,401
Botoșani County,484
Brașov County,1837
Brăila County,337
Bucharest,4523
Buzău County,607
Caraș-Severin County,331
Cluj County,2639
Constanța County,1257
Covasna County,416
Călărași County,340
Dolj County,879
Dâmbovița County,451
Galați County,616
Giurgiu County,202
Gorj County,633
Harghita County,656
Hunedoara County,618
Ialomița County,196
Iași County,1806
Ilfov County,599
Maramureș County,595
Mehedinți County,315
Mureș County,1026
Neamț County,599
Olt County,335
Prahova County,1076
Satu Mare County,521
Sibiu County,1004
Suceava County,818
Sălaj County,337
Teleorman County,354
Timiș County,1031
Tulcea County,223
Unknown,≤100
Vaslui County,343
Vrancea County,624
Vâlcea County,501
