Location name,Amount spent (UYU)
Artigas Department,141
Canelones Department,219
Cerro Largo Department,≤100
Colonia Department,1128
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,185
Montevideo Department,871
Paysandú Department,≤100
Rivera Department,427
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,191
San José Department,183
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,727
Unknown,≤100
