Page ID,Page name,Disclaimer,Amount spent (THB),Number of ads in Library
101673076131930,พรรคเปลี่ยน,พรรคเปลี่ยน,557673,115
101535845426970,พรรคไทยสร้างไทย,พรรคไทยสร้างไทย,32243,15
283908908680102,พรรคพลังธรรมใหม่,พรรคพลังธรรมใหม่,24120,30
1664134843802676,ก้อง อรรฆรัตน์ นิติพน,Akarat Nitibhon,18804,228
149079361791677,พรรคเพื่อไทย,พรรคเพื่อไทย,17275,5
161651553861945,Amnesty International Thailand,Amnesty International Thailand,14844,5
103503346076459,สมเกียรติ ตันตระกูล,8898PRODUCTION COMPANY LIMITED,14176,13
111067427367211,กิตติพล รวยฟูพันธ์ เบอร์ 14 ผู้สมัคร สส เขตทุ่งครุ ราษฎร์บูรณะ พรรคเพื่อไทย,กิตติพล รวยฟูพันธ์ เบอร์ 14 ผู้สมัคร สส เขตทุ่งครุ ราษฎร์บูรณะ พรรคเพื่อไทย,13954,5
567028733726812,ต่อศักดิ์  อัศวเหม,ต่อศักดิ์  อัศวเหม,11916,13
105546651850693,วีรนันท์ ฮวดศรี-Weeranan Huadsri-ทนายป๊อก,Weeranan Huadsri,11436,42
110112088548803,บัวสอน ประชามอญ / ไทยสร้างไทย,บัวสอน ประชามอญ / ไทยสร้างไทย,10608,2
110668021506069,เพื่อเทอทั้งสองใบ,เพื่อเทอทั้งสองใบ,8478,12
102807719039442,พรรครวมไทยสร้างชาติ United Thai Nation Party,พรรครวมไทยสร้างชาติ United Thai Nation Party,7732,18
109239188766815,ดร. วิทยา อินาลา พรรคไทยพร้อม,Klod Sawadputsra,7482,6
241115389300595,คุณหญิงสุดารัตน์ เกยุราพันธุ์ Sudarat Keyuraphan,คุณหญิงสุดารัตน์ เกยุราพันธุ์ Sudarat Keyuraphan,7430,5
111203087295386,ดร.ทวนชัย นิยมชาติ ผู้สมัคร สส เขตจอมทอง เขตบางบอน เขตหนองแขม เบอร์ 8,Thuanchai Niyomchart,7364,7
112953064222988,อั๋น ภูวดล วงษ์โสภณากุล,อั๋น ภูวดล วงษ์โสภณากุล,7312,5
2230596726985945,ฮาย ปวิศรัฐฐ์ ติยะไพรัช,บริษัท เวิร์ค 360 จำกัด,7143,15
103742482695590,เจมส์ สรรเพ็ชญ ศรีสวัสดิ์ - James Sanphet Srisawat,เกริกกฤษดา ทองแก้วสวัสดิ์,6902,2
182657125936067,พรรคภูมิใจไทย,พรรคภูมิใจไทย,6530,20
278216879718449,เกษม ศุภรานนท์,Patharapong Supparanon,6273,16
