Location name,Amount spent (INR)
Andaman and Nicobar Islands,251
Andhra Pradesh,74290
Arunachal Pradesh,1104
Assam,12504
Bihar,36162
Chandigarh,3138
Chhattisgarh,24881
Dadra and Nagar Haveli,930
Delhi,54572
Goa,2077
Gujarat,54545
Haryana,34430
Himachal Pradesh,16219
Jammu and Kashmir,16416
Jharkhand,14964
Karnataka,1260878
Kerala,22282
Lakshadweep,≤100
Madhya Pradesh,72012
Maharashtra,138728
Manipur,3972
Meghalaya,2526
Mizoram,645
Nagaland,866
Odisha,15447
Puducherry,2887
Punjab region,62143
Rajasthan,161625
Sikkim,614
Tamil Nadu,91009
Telangana,41258
Tripura,1696
Unknown,177
Uttar Pradesh,248191
Uttarakhand,11933
West Bengal,48279
