Location name,Amount spent (GTQ)
Alta Verapaz Department,≤100
Baja Verapaz Department,≤100
Chimaltenango Department,167
Chiquimula Department,≤100
El Progreso Department,≤100
Escuintla Department,≤100
Guatemala Department,6142
Huehuetenango Department,≤100
Izabal Department,≤100
Jalapa Department,≤100
Jutiapa Department,≤100
Petén Department,≤100
Quetzaltenango Department,697
Quiché Department,≤100
Retalhuleu Department,≤100
Sacatepéquez Department,204
San Marcos Department,177
Santa Rosa Department,≤100
Sololá Department,156
Suchitepéquez Department,≤100
Totonicapán Department,261
Unknown,≤100
Zacapa Department,≤100
