Location name,Amount spent (INR)
Andaman and Nicobar Islands,178
Andhra Pradesh,105260
Arunachal Pradesh,1278
Assam,16989
Bihar,39165
Chandigarh,1827
Chhattisgarh,94890
Dadra and Nagar Haveli,789
Delhi,40732
Goa,3123
Gujarat,51895
Haryana,34965
Himachal Pradesh,7935
Jammu and Kashmir,6559
Jharkhand,18239
Karnataka,43468
Kerala,12772
Lakshadweep,≤100
Madhya Pradesh,354766
Maharashtra,184180
Manipur,177
Meghalaya,910
Mizoram,2065
Nagaland,787
Odisha,14442
Puducherry,579
Punjab region,32848
Rajasthan,219221
Sikkim,1077
Tamil Nadu,27412
Telangana,108740
Tripura,2069
Unknown,≤100
Uttar Pradesh,117376
Uttarakhand,17490
West Bengal,36791
