Location name,Amount spent (CLP)
Antofagasta Region,117539
Araucanía Region,109068
Arica y Parinacota Region,55629
Atacama Region,52149
Aysén Region,14137
Bío Bío Region,255315
Coquimbo Region,169914
Los Lagos Region,104527
Los Ríos Region,45174
Magallanes y la Antártica Chilena Region,18088
Maule Region,106832
O'Higgins Region,116525
Santiago Metropolitan Region,1814596
Tarapacá Region,71266
Unknown,≤100
Valparaíso Region,602749
