Location name,Amount spent (CAD)
Alberta,21169
British Columbia,8432
Manitoba,2599
New Brunswick,896
Newfoundland and Labrador,1018
Northwest Territories,110
Nova Scotia,1335
Nunavut,≤100
Ontario,21301
Prince Edward Island,240
Quebec,10078
Saskatchewan,2485
Unknown,258
Yukon,≤100
