Location name,Amount spent (SEK)
Blekinge County,4868
Dalarna County,9822
Gotland County,23951
Gävleborg County,9873
Halland County,9918
Jämtland County,5252
Jönköping County,11909
Kalmar County,7865
Kronoberg County,5895
Norrbotten County,8903
Skåne County,42306
Stockholm County,78868
Södermanland County,10067
Unknown,624
Uppsala County,12967
Värmland County,8971
Västerbotten County,8998
Västernorrland County,7712
Västmanland County,8681
Västra Götaland County,58155
Örebro County,10525
Östergötland County,14709
