Location name,Amount spent (JPY)
Aichi Prefecture,17538
Akita Prefecture,1826
Aomori Prefecture,3030
Chiba Prefecture,15690
Ehime Prefecture,2607
Fukui Prefecture,2505
Fukuoka Prefecture,38811
Fukushima Prefecture,3845
Gifu Prefecture,4489
Gunma Prefecture,4561
Hiroshima Prefecture,5744
Hokkaido,12052
Hyōgo Prefecture,16165
Ibaraki Prefecture,5671
Ishikawa Prefecture,2531
Iwate Prefecture,2342
Kagawa Prefecture,2712
Kagoshima Prefecture,2783
Kanagawa Prefecture,28692
Kumamoto Prefecture,7016
Kyoto Prefecture,7209
Kōchi Prefecture,1218
Mie Prefecture,3677
Miyagi Prefecture,10185
Miyazaki Prefecture,2246
Nagano Prefecture,4122
Nagasaki Prefecture,4433
Nara Prefecture,3421
Niigata Prefecture,4072
Okayama Prefecture,3822
Okinawa Prefecture,4588
Osaka Prefecture,25102
Saga Prefecture,3574
Saitama Prefecture,15384
Shiga Prefecture,3666
Shimane Prefecture,1263
Shizuoka Prefecture,7318
Tochigi Prefecture,4224
Tokushima Prefecture,1520
Tokyo,46300
Tottori Prefecture,984
Toyama Prefecture,1830
Unknown,≤100
Wakayama Prefecture,2103
Yamagata Prefecture,3254
Yamaguchi Prefecture,2832
Yamanashi Prefecture,1887
Ōita Prefecture,4644
