Location name,Amount spent (COP)
Amazonas,942
Antioquia,2085572
Arauca,9001
Atlantico,415113
Bolivar,357894
Boyaca,194852
Caldas,86608
Caqueta,57926
Casanare,27297
Cauca,116180
Cesar,96099
Choco,13063
Cordoba,108097
Cundinamarca,434990
Distrito Especial,2171167
Guainia,913
Guaviare,2431
Huila,104628
La Guajira,27368
Magdalena,96721
Meta,258032
Narino,58084
Norte de Santander,132080
Putumayo,10442
Quindio,52134
Risaralda,322291
San Andres y Providencia,3226
Santander,121828
Sucre,49432
Tolima,163971
Unknown,≤100
Valle del Cauca,1240592
Vaupes,476
Vichada,542
