Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,376
Apurímac Region,≤100
Arequipa Region,391
Ayacucho Region,148
Cajamarca Region,280
Callao,342
Cusco Region,286
Huancavelica Region,≤100
Huánuco Region,147
Ica Region,308
Junín Region,288
La Libertad Region,562
Lambayeque Region,358
Lima Region,3227
Loreto Region,476
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,680
Puno Region,327
San Martín Region,239
Tacna Region,114
Tumbes Region,≤100
Ucayali Region,156
Unknown,≤100
