Location name,Amount spent (GTQ)
Alta Verapaz Department,243
Baja Verapaz Department,≤100
Chimaltenango Department,203
Chiquimula Department,149
El Progreso Department,≤100
Escuintla Department,330
Guatemala Department,7333
Huehuetenango Department,305
Izabal Department,234
Jalapa Department,≤100
Jutiapa Department,177
Petén Department,138
Quetzaltenango Department,463
Quiché Department,202
Retalhuleu Department,132
Sacatepéquez Department,301
San Marcos Department,757
Santa Rosa Department,122
Sololá Department,134
Suchitepéquez Department,178
Totonicapán Department,105
Unknown,≤100
Zacapa Department,193
