Location name,Amount spent (ISK)
Capital Region,76955
Eastern Region,3960
Northeastern Region,9892
Northwestern Region,2126
Southern Peninsula,8614
Southern Region,9240
Unknown,≤100
Western Region,2130
Westfjords,2073
