Location name,Amount spent (CAD)
Alberta,17114
British Columbia,14158
Manitoba,2387
New Brunswick,1565
Newfoundland and Labrador,777
Northwest Territories,≤100
Nova Scotia,2019
Nunavut,≤100
Ontario,31749
Prince Edward Island,270
Quebec,13906
Saskatchewan,2257
Unknown,≤100
Yukon,168
