Location name,Amount spent (PYG)
Alto Paraguay Department,17379
Alto Paraná Department,336634
Amambay Department,28644
Asunción,393627
Boquerón department,16879
Caaguazú Department,101715
Caazapá Department,24240
Canindeyú Department,35565
Central Department,2504113
Concepción Department (Paraguay),43001
Cordillera Department,85227
Guairá Department,36626
Itapúa Department,112594
Misiones Department,81651
Paraguarí Department,131257
Presidente Hayes Department,20381
San Pedro Department,59844
Unknown,≤100
Ñeembucú Department,29948
