Location name,Amount spent (CHF)
Aargau,463
Appenzell Ausserrhoden,≤100
Appenzell Innerrhoden,≤100
Basel-City,424
Basel-Landschaft,154
Bern,848
Canton of Geneva,1022
Canton of Glarus,≤100
Canton of Nidwalden,≤100
Canton of Obwalden,≤100
Canton of St. Gallen,385
Fribourg,276
Graubünden,169
Jura,≤100
Luzern,292
Neuchâtel,180
Schaffhausen,126
Schwyz,120
Solothurn,171
Thurgau,234
Ticino,191
Unknown,≤100
Uri,≤100
Valais,328
Vaud,697
Zug,≤100
Zürich,2097
