Location name,Amount spent (MXN)
Aguascalientes,2944
Baja California,15346
Baja California Sur,1914
Campeche,9273
Chiapas,8068
Chihuahua,14474
Coahuila de Zaragoza,10798
Colima,1894
Distrito Federal,71921
Durango,3707
Guanajuato,11598
Guerrero,7368
Hidalgo,7012
Jalisco,47093
Michoacán de Ocampo,19329
Morelos,12712
Nayarit,2469
Nuevo León,49508
Oaxaca,6467
Puebla,16340
Querétaro Arteaga,8206
Quintana Roo,8866
San Luis Potosi,16347
Sinaloa,13834
Sonora,9039
State of Mexico,50988
Tabasco,7078
Tamaulipas,10929
Tlaxcala,2578
Unknown,≤100
Veracruz,14588
Yucatán,17724
Zacatecas,3145
