Location name,Amount spent (EGP)
Al Sharqia Governorate,1311
Alexandria Governorate,845
Aswan Governorate,116
Asyut Governorate,298
Beheira Governorate,509
Beni Suef Governorate,192
Cairo Governorate,2662
Dakahlia Governorate,1008
Damietta Governorate,325
Faiyum Governorate,189
Gharbia Governorate,1083
Giza Governorate,992
Ismailia Governorate,147
Kafr el-Sheikh Governorate,491
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,358
Monufia Governorate,719
New Valley Governorate,≤100
North Sinai Governorate,≤100
Port Said Governorate,114
Qalyubia Governorate,614
Qena Governorate,220
Red Sea Governorate,≤100
Sohag Governorate,371
South Sinai Governorate,≤100
Suez Governorate,≤100
Unknown,≤100
