Location name,Amount spent (LBP)
Beirut Governorate,3177274
Beqaa Governorate,1089552
Mount Lebanon Governorate,2536837
Nabatieh Governorate,422826
North Governorate,1487576
South Governorate,731031
Unknown,≤100
