Location name,Amount spent (PLN)
Greater Poland Voivodeship,5056
Kuyavian-Pomeranian Voivodeship,3275
Lesser Poland Voivodeship,5202
Lower Silesian Voivodeship,3916
Lublin Voivodeship,2287
Lubusz Voivodeship,1054
Masovian Voivodeship,10483
Opole Voivodeship,788
Podkarpackie Voivodeship,1581
Podlaskie Voivodeship,1045
Pomeranian Voivodeship,5067
Silesian Voivodeship,4930
Unknown,≤100
Warmian-Masurian Voivodeship,1253
West Pomeranian Voivodeship,1794
Łódź Voivodeship,3144
Świętokrzyskie Voivodeship,1049
