Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,321
Apurímac Region,≤100
Arequipa Region,273
Ayacucho Region,103
Cajamarca Region,260
Callao,339
Cusco Region,195
Huancavelica Region,≤100
Huánuco Region,118
Ica Region,324
Junín Region,180
La Libertad Region,501
Lambayeque Region,345
Lima Region,7624
Loreto Region,255
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,615
Puno Region,195
San Martín Region,179
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,250
Unknown,≤100
