Location name,Amount spent (EUR)
Andrijevica Municipality,≤100
Bar Municipality,353
Berane Municipality,≤100
Bijelo Polje Municipality,337
Budva Municipality,329
Danilovgrad Municipality,183
Herceg Novi Municipality,230
Kolašin Municipality,147
Nikšić Municipality,490
Old Royal Capital Cetinje,152
Petnjica Municipality,≤100
Plav Municipality,118
Pljevlja Municipality,247
Plužine Municipality,≤100
Podgorica Capital City,1940
Rožaje Municipality,242
Tivat Municipality,321
Ulcinj Municipality,374
Unknown,≤100
Šavnik Municipality,≤100
Žabljak Municipality,≤100
