Location name,Amount spent (USD)
Alabama,7897
Alaska,6935
American Samoa,≤100
Arizona,16624
Arkansas,5489
California,96129
Colorado,41134
Connecticut,9263
Delaware,2103
Florida,63559
Georgia,19454
Guam,≤100
Hawaii,3253
Idaho,5291
Illinois,87411
Indiana,19668
Iowa,7637
Kansas,6685
Kentucky,8199
Louisiana,9971
Maine,5997
Maryland,18271
Massachusetts,14452
Michigan,23658
Minnesota,17165
Mississippi,5212
Missouri,27264
Montana,4689
Nebraska,4420
Nevada,7254
New Hampshire,5606
New Jersey,21414
New Mexico,5310
New York,71186
North Carolina,21277
North Dakota,1754
Northern Mariana Islands,≤100
Ohio,25242
Oklahoma,10854
Oregon,12631
Pennsylvania,33968
Puerto Rico,≤100
Rhode Island,2417
South Carolina,11013
South Dakota,1362
Tennessee,19989
Texas,88903
Unknown,≤100
Utah,4846
Vermont,1821
Virgin Islands (U.S.),≤100
Virginia,21244
Washington,16484
"Washington, District of Columbia",8131
West Virginia,3967
Wisconsin,135087
Wyoming,1033
