Location name,Amount spent (EUR)
Alsace,418
Aquitaine,801
Auvergne,243
Basse-Normandie,288
Bourgogne,296
Bretagne,646
Centre,479
Champagne-Ardenne,267
Corse,105
Franche-Comté,206
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,419
Languedoc-Roussillon,846
Limousin,137
Lorraine,505
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,662
New Caledonia,≤100
Nord-Pas-de-Calais,815
Pays de la Loire,671
Picardie,418
Poitou-Charentes,379
Provence-Alpes-Côte d'Azur,1770
Reunion Island,≤100
Rhône-Alpes,1353
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Île-de-France,3592
