Location name,Amount spent (CAD)
Alberta,19565
British Columbia,17629
Manitoba,2722
New Brunswick,1711
Newfoundland and Labrador,816
Northwest Territories,≤100
Nova Scotia,2351
Nunavut,≤100
Ontario,43468
Prince Edward Island,276
Quebec,15186
Saskatchewan,2496
Unknown,≤100
Yukon,103
