Location name,Amount spent (JPY)
Aichi Prefecture,13735
Akita Prefecture,1128
Aomori Prefecture,1308
Chiba Prefecture,12904
Ehime Prefecture,2746
Fukui Prefecture,1430
Fukuoka Prefecture,39202
Fukushima Prefecture,2392
Gifu Prefecture,2750
Gunma Prefecture,2690
Hiroshima Prefecture,5118
Hokkaido,8866
Hyōgo Prefecture,12523
Ibaraki Prefecture,4436
Ishikawa Prefecture,2121
Iwate Prefecture,1638
Kagawa Prefecture,1621
Kagoshima Prefecture,1986
Kanagawa Prefecture,32773
Kumamoto Prefecture,3613
Kyoto Prefecture,12643
Kōchi Prefecture,1112
Mie Prefecture,2910
Miyagi Prefecture,10247
Miyazaki Prefecture,1882
Nagano Prefecture,3944
Nagasaki Prefecture,3480
Nara Prefecture,2865
Niigata Prefecture,2729
Okayama Prefecture,3538
Okinawa Prefecture,5274
Osaka Prefecture,22474
Saga Prefecture,2568
Saitama Prefecture,13224
Shiga Prefecture,2555
Shimane Prefecture,1003
Shizuoka Prefecture,8643
Tochigi Prefecture,2848
Tokushima Prefecture,1121
Tokyo,77566
Tottori Prefecture,708
Toyama Prefecture,1506
Unknown,≤100
Wakayama Prefecture,1470
Yamagata Prefecture,1292
Yamaguchi Prefecture,1931
Yamanashi Prefecture,1777
Ōita Prefecture,3046
