Location name,Amount spent (HUF)
Baranya County,124871
Borsod-Abaúj-Zemplén County,162622
Budapest,745810
Bács-Kiskun County,141232
Békés County,94884
Csongrád County,142111
Fejér County,127164
Győr-Moson-Sopron County,142498
Hajdú-Bihar County,157023
Heves County,79695
Jász-Nagykun-Szolnok County,101998
Komárom-Esztergom County,109528
Nógrád County,50701
Pest County,360325
Somogy County,80901
Szabolcs-Szatmár-Bereg County,137174
Tolna County,62775
Unknown,163
Vas County,84055
Veszprém County,96359
Zala County,89560
