Location name,Amount spent (VND)
An Giang Province,8904
Bà Rịa–Vũng Tàu Province,9981
Bình Dương Province,13643
Bình Phước Province,6575
Bình Thuận Province,184307
Bình Định Province,34186
Bạc Liêu Province,3629
Bắc Giang Province,15371
Bắc Kạn Province,2465
Bắc Ninh Province,158320
Bến Tre Province,18790
Cao Bằng Province,45016
Cà Mau Province,6339
Cần Thơ,12723
Da Nang,13855
Gia Lai Province,36034
Haiphong,21043
Ho Chi Minh City,85145
Hà Giang Province,2005
Hà Nam Province,6783
Hà Tĩnh Province,12118
Hòa Bình Province,4146
Hưng Yên Province,8700
Hải Dương Province,19271
Hậu Giang Province,2579
Khánh Hòa Province,10218
Kiên Giang Province,6231
Kon Tum Province,2451
Lai Châu Province,954
Long An Province,6300
Lào Cai Province,3871
Lâm Đồng Province,9418
Lạng Sơn Province,5246
Nam Định Province,16830
Nghệ An Province,25982
Ninh Bình Province,7695
Ninh Thuận Province,2829
Phú Thọ Province,10458
Phú Yên Province,6128
Quảng Bình Province,5879
Quảng Nam Province,10640
Quảng Ngãi Province,8400
Quảng Ninh Province,12817
Quảng Trị Province,6823
Sóc Trăng Province,4697
Sơn La Province,5369
Thanh Hóa Province,21707
Thái Bình Province,94869
Thái Nguyên Province,63100
Thừa Thiên–Huế Province,17386
Tiền Giang Province,7770
Trà Vinh Province,3807
Tuyên Quang Province,4944
Tây Ninh Province,7117
Vĩnh Long Province,5483
Vĩnh Phúc Province,7365
Yên Bái Province,4798
Điện Biên Province,2948
Đắk Lắk Province,117415
Đắk Nông Province,3623
Đồng Nai Province,23131
Đồng Tháp Province,7947
