Location name,Amount spent (SEK)
Blekinge County,3742
Dalarna County,7998
Gotland County,1801
Gävleborg County,7414
Halland County,7715
Jämtland County,3964
Jönköping County,9099
Kalmar County,5699
Kronoberg County,4473
Norrbotten County,7548
Skåne County,32444
Stockholm County,62334
Södermanland County,7477
Unknown,≤100
Uppsala County,11792
Värmland County,6809
Västerbotten County,8858
Västernorrland County,6250
Västmanland County,6817
Västra Götaland County,45685
Örebro County,7821
Östergötland County,11454
