Location name,Amount spent (HUF)
Baranya County,162673
Borsod-Abaúj-Zemplén County,262867
Budapest,943673
Bács-Kiskun County,229809
Békés County,145026
Csongrád County,178066
Fejér County,186776
Győr-Moson-Sopron County,196327
Hajdú-Bihar County,232980
Heves County,129745
Jász-Nagykun-Szolnok County,173578
Komárom-Esztergom County,134173
Nógrád County,78224
Pest County,495990
Somogy County,120239
Szabolcs-Szatmár-Bereg County,225097
Tolna County,95878
Unknown,≤100
Vas County,106287
Veszprém County,146767
Zala County,120135
