Location name,Amount spent (PYG)
Alto Paraguay Department,1883
Alto Paraná Department,106468
Amambay Department,14494
Asunción,126994
Boquerón department,2188
Caaguazú Department,87777
Caazapá Department,7891
Canindeyú Department,13294
Central Department,487228
Concepción Department (Paraguay),37284
Cordillera Department,71749
Guairá Department,19136
Itapúa Department,41867
Misiones Department,107717
Paraguarí Department,15935
Presidente Hayes Department,3462
San Pedro Department,16379
Unknown,≤100
Ñeembucú Department,24207
