Location name,Amount spent (EGP)
Al Sharqia Governorate,5789
Alexandria Governorate,913
Aswan Governorate,630
Asyut Governorate,284
Beheira Governorate,427
Beni Suef Governorate,160
Cairo Governorate,2173
Dakahlia Governorate,735
Damietta Governorate,216
Faiyum Governorate,166
Gharbia Governorate,666
Giza Governorate,572
Ismailia Governorate,139
Kafr el-Sheikh Governorate,486
Luxor Governorate,≤100
Matrouh Governorate,≤100
Minya Governorate,394
Monufia Governorate,362
New Valley Governorate,352
North Sinai Governorate,≤100
Port Said Governorate,124
Qalyubia Governorate,920
Qena Governorate,197
Red Sea Governorate,≤100
Sohag Governorate,310
South Sinai Governorate,≤100
Suez Governorate,≤100
Unknown,≤100
