Location name,Amount spent (RON)
Alba County,689
Arad County,906
Argeș County,1098
Bacău County,1095
Bihor County,1087
Bistrița-Năsăud County,495
Botoșani County,544
Brașov County,1963
Brăila County,530
Bucharest,5123
Buzău County,677
Caraș-Severin County,558
Cluj County,2454
Constanța County,1409
Covasna County,333
Călărași County,395
Dolj County,994
Dâmbovița County,728
Galați County,914
Giurgiu County,305
Gorj County,711
Harghita County,575
Hunedoara County,1099
Ialomița County,350
Iași County,1820
Ilfov County,767
Maramureș County,844
Mehedinți County,387
Mureș County,1007
Neamț County,1274
Olt County,498
Prahova County,1690
Satu Mare County,789
Sibiu County,811
Suceava County,1183
Sălaj County,450
Teleorman County,411
Timiș County,1714
Tulcea County,322
Unknown,≤100
Vaslui County,466
Vrancea County,545
Vâlcea County,797
