Location name,Amount spent (HUF)
Baranya County,104932
Borsod-Abaúj-Zemplén County,142186
Budapest,576327
Bács-Kiskun County,118216
Békés County,78446
Csongrád County,116952
Fejér County,105463
Győr-Moson-Sopron County,111415
Hajdú-Bihar County,165645
Heves County,76676
Jász-Nagykun-Szolnok County,87560
Komárom-Esztergom County,70753
Nógrád County,42540
Pest County,239285
Somogy County,79500
Szabolcs-Szatmár-Bereg County,127453
Tolna County,55998
Unknown,≤100
Vas County,61386
Veszprém County,79221
Zala County,69958
