Location name,Amount spent (EUR)
Alsace,699
Aquitaine,1116
Auvergne,346
Basse-Normandie,426
Bourgogne,455
Bretagne,996
Centre,783
Champagne-Ardenne,345
Corse,149
Franche-Comté,292
French Guiana,≤100
French Polynesia,≤100
Guadeloupe,≤100
Haute-Normandie,706
Languedoc-Roussillon,996
Limousin,189
Lorraine,814
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,905
New Caledonia,≤100
Nord-Pas-de-Calais,1138
Pays de la Loire,1125
Picardie,705
Poitou-Charentes,487
Provence-Alpes-Côte d'Azur,2041
Reunion Island,≤100
Rhône-Alpes,2044
Saint Pierre and Miquelon,≤100
Saint-Barthelemy,≤100
Saint-Martin,≤100
Unknown,≤100
Wallis and Futuna,≤100
Île-de-France,3940
