Page ID,Page name,Disclaimer,Amount spent (JPY),Number of ads in Library
475681929154100,国連UNHCR協会,国連UNHCR協会,161698,32
117914038333112,自由民主党 大阪府支部連合会,自民党大阪府連,74309,1
684161888345926,西日本新聞me,西日本新聞me,48848,24
1904070096535109,スマート選挙,株式会社センキョ,38140,6
106708475612902,愛知県商工会連合会,愛知県商工会連合会,33763,1
664345490331547,ビジネス＋it（Business+it）,ビジネス＋it（Business+it）,31030,5
1696345490608147,福岡維新の会,福岡維新の会,26983,2
298060150283457,大分県日出町,帆足吉美,22272,37
239558679475625,株式会社トマス技術研究所,Kenji Fukutomi,21446,16
208661552479830,日本財団,Shigeru Fujita,20791,8
101094292847537,＆Co.,&Co.,13287,2
103608295921604,佐賀県知事選2022,野口大希,12289,1
651801698258818,NewsTV,NewsTV,12158,2
486499008189961,Inspire（インスパイア）：地方創生イノベータープラットフォーム,一般社団法人INSPIRE,8550,1
102468941548369,宮城県民共済,宮城県民共済,6017,3
544702409046206,手相の見方大事典テソペディア,株式会社Qu Creation,2821,1
105675478186991,金井たかし　江戸川区の政策研究,金井 高志,2814,1
1760505920732338,立憲民主党島根県総支部連合会,立憲民主党島根県総支部連合会,2752,2
1559490264356988,NPO法人有明支縁会,NPO法人有明支縁会,2472,3
103921962501743,こまざき美紀,こまざき美紀,2410,2
298060150283457,大分県日出町,大分県日出町,2342,8
200121530091286,いただきへの、はじまり　富士市,富士市,2019,1
101790834838579,mamacowith 東急百貨店,These ads ran without a disclaimer,1470,1
151214938794853,ミエセン,ジャッグジャパン株式会社,1415,9
104533215755145,ZOE_Japan,ZOE Japan,957,1
551303845317383,高橋元気（中央区議会議員）,Genki Takahashi,944,1
211683239011895,大東建託株式会社,ASUE株式会社,794,2
173526076413287,横浜市会議員　山下正人事務所,山下　正人,780,1
102102205318954,Sakura_mocchi,These ads ran without a disclaimer,671,1
168869767018564,白石洋一よういち,Yoichi Shiraishi,609,1
1621936421357167,藤崎町観光情報サイト ふじさんぽ,株式会社コンシス,598,1
313006265799765,都民ファーストの会 滝田やすひこ （前 東京都議会議員 / 八王子市選出）,都民ファーストの会　滝田やすひこ,562,1
100199881840737,Minghui Japan（ミンフイ　ジャパン）ー明慧日本,明慧日本,502,1
2125354127714938,かとう裕太（香取市議会議員）,かとう裕太後援会,484,1
256504371891671,the-issues.jp,株式会社issues,478,9
1672330153015605,透明アクリル業者票,アドアチーブ株式会社,385,1
1693424197555537,赤磐市議会議員 佐々木ゆうじ,Sasaki Yuji,372,1
146709162183685,くすのき　りえこ,藤川忠彦,367,1
114564043562052,SDGs Online FESTA,Akiyama Kohjiro,338,1
102345105947737,選挙しか勝たん！どぶ板を業者に任せる楽ちん候補予定者のための「ポスターPR党」by 選挙ドットウィン「03-6915-2310」,僕俺株式会社,320,1
123217824515511,牛見 航  /  山口県防府市議会議員,Wataru Ushimi,312,1
192399998157650,市来ハヤト（大阪維新の会）,市來隼後援会,293,1
104367261609980,飯牟礼克年（いいむれ かつとし）後援会,Katsutoshi Iimure,271,1
892507460769381,改正だいすけ　生駒市議会議員,Daisuke Kaisho,135,1
2196728247306610,オスカー不動産投資,These ads ran without a disclaimer,123,2
259163764160829,FoE Japan,FoE Japan,106,1
881025135256351,Japan In-depth,Japan In-depth,≤100,1
288301635169706,たかはま なおき　文京区議会議員,高浜 直樹,≤100,1
243143172757375,情報ドットコム（K.Oshima）,大島 和彦,≤100,1
110513395219879,坂本頼義,These ads ran without a disclaimer,≤100,1
105326388621995,いろはいえ岐阜,These ads ran without a disclaimer,≤100,1
204043699781768,Focus Brasil,These ads ran without a disclaimer,≤100,1
187899927908653,船井総合研究所（船井総研）,These ads ran without a disclaimer,≤100,1
1220981994590364,FT Partner Content,These ads ran without a disclaimer,≤100,2
1556481434584901,Paul Xavier,These ads ran without a disclaimer,≤100,1
253427411376355,Institute of Science and Technology Austria - ISTA,These ads ran without a disclaimer,≤100,1
316496640057,7iber,These ads ran without a disclaimer,≤100,1
284370804968723,"Croatian service, China radio International",These ads ran without a disclaimer,≤100,1
220362138159743,Дэлхийн цаг,These ads ran without a disclaimer,≤100,1
257137894309103,《車主》雜誌（Automobile Magazine Hong Kong）,These ads ran without a disclaimer,≤100,1
136855919703691,SCHOTT CERAN international,These ads ran without a disclaimer,≤100,1
702279983471744,Olympic Council of Asia,These ads ran without a disclaimer,≤100,1
314687429173912,Traveler Door,These ads ran without a disclaimer,≤100,1
136235250405370,The Fashion Ball,These ads ran without a disclaimer,≤100,1
110581751226230,Traveler Door - the 1000 page,These ads ran without a disclaimer,≤100,1
395097957880442,CFS • Circular Fashion System,These ads ran without a disclaimer,≤100,1
185771248113677,Etihad Airways,These ads ran without a disclaimer,≤100,1
105363750882345,Young Activists Summit,These ads ran without a disclaimer,≤100,1
34440108608,Net Impact,These ads ran without a disclaimer,≤100,3
