Page ID,Page name,Disclaimer,Amount spent (CZK),Number of ads in Library
58887737763,Hnutí DUHA - Přátelé Země Česká republika,Hnutí DUHA - Přátelé Země Česká republika,12278,12
55876739776,Greenpeace Česká republika,Greenpeace Česká republika,7473,16
197010357446014,Ondřej Prokop,Ondrej Prokop,4997,8
179497582061065,Tomio Okamura - SPD,Svoboda a přímá demokracie - SPD,4231,12
111041662264882,Sociální demokracie,ČSSD,3585,10
370583064327,Starostové a nezávislí • STAN,Starostové a nezávislí • STAN,3483,7
361281313901258,Komerční banka,"Komerční banka, a.s.",3046,4
56292993421,Jeden svět / One World,Člověk v tísni o.p.s.,2823,6
120461304659141,O2 CZ,O2 Czech republic,2526,2
30575632699,ODS - Občanská demokratická strana,ODS - Občanská demokratická strana,2513,10
944358442253364,Jihočeský kraj - oficiální,Jihočeský kraj - oficiální,2474,5
849315472073267,Charita ve světě / Caritas Czech Republic in the world,Charita Česká republika,2133,5
356451014434612,Marian Jurečka,KDU-ČSL,1775,7
251656685576,KDU-ČSL,KDU-ČSL,1552,3
90002267161,TOP 09,TOP 09,1381,12
34825122262,Časopis Reflex,CZECH NEWS CENTER a. s.,1355,4
56987874554,Liga otevřených mužů,Liga otevřených mužů,1188,1
206273352289,ADRA CZ,"ADRA, o.p.s.",1179,3
369282113213473,Zlin.eu,These ads ran without a disclaimer,1057,1
110945610569821,Odchod.eu,Hnutí Odchod,1039,2
52479821102,Týdeník Respekt,Týdeník Respekt,869,6
578342809023884,Jsme fér,Prague Pride,842,1
315972808450196,ČSOB,ČSOB,643,1
60516116431,Člověk v tísni,"Člověk v tísni, o.p.s.",635,4
693725074166331,Naše zdravotnictví,Naše zdravotnictví,622,3
317158175535179,BitLife,These ads ran without a disclaimer,602,4
101983652354160,Jozef Síkela,Starostové a nezávislí,593,1
105994357680102,Avenberg.cz,These ads ran without a disclaimer,593,2
1477535869227488,Vít Rakušan,Starostové a nezávislí,544,1
107699964449797,Herohero,These ads ran without a disclaimer,515,1
100201752249169,Spolu21,Občanská demokratická strana,509,2
579215965436046,JSNS,JSNS,479,4
214827221987263,Andrej Babiš,Andrej Babiš,469,1
111108757492137,Libor Vondráček • Svobodní,Libor Vondráček • Svobodní,412,5
211685455639198,Ministerstvo práce a sociálních věcí,Ministerstvo práce a sociálních věcí,410,1
332418787330819,VOK - Volba pro kraj,"Volba pro kraj, politické hnutí",405,2
102090718057736,Urban Developers and Investors,"Urban Developers and Investors, s.r.o.",395,2
124152241443,Čmelák - Společnost Přátel Přírody,Čmelák - Společnost přátel přírody,365,7
227416910669250,Komora daňových poradců ČR,Komora daňových poradců ČR,356,4
2324431914442679,bez Dodavatele,bezDodavatele a.s.,347,1
1558359124403846,Každá plechovka se počítá,Každá plechovka se počítá,336,2
275383259179951,Tepelná čerpadla IVT,Tepelná čerpadla IVT,334,4
264983260329918,Rádio Universum,Kupředu do minulosti s.r.o.,319,2
125830487980906,Solární asociace,Solární asociace,318,1
50309511751,Český rozhlas - Radiožurnál,Český rozhlas,307,2
58864692622,Český rozhlas Vltava,Český rozhlas,306,1
384187235387895,Alena Schillerová,ANO,301,1
137778619615350,Voyo.cz,TV Nova s. r. o.,292,2
733410133337387,Michaela Šojdrová,Michaela Šojdrová,286,9
185529688186850,KDU - ČSL Plzeňský kraj,KDU-ČSL Plzeňský kraj,284,2
106834174877753,Svět hospodářství,"SH media, spol. s r.o.",271,3
495496033796328,Stanislav Blaha,Stanislav Blaha,268,5
711658465662315,XTV,XTV,264,7
282765711734893,Piráti Moravskoslezský kraj,Piráti Moravskoslezský kraj,248,4
103567498863549,Ecoista,Ecoista,242,3
133030253410089,Jan Šafařík,Jan Šafařík,238,6
108342850697974,Hejtman Josef Suchánek,Starostové a nezávislí • STAN,227,3
1797185020366096,Scale,Scale,220,1
101500052256658,Jan Kavalírek / zastupitel Praha 5,Jan Kavalírek,214,2
100955509189359,Redakce NF Svědomí národa,Nadační fond Svědomí národa,208,1
822146574595819,Agrární komora České republiky,Agrární komora České republiky,208,1
321762510282,Michal Kučera,Michal Kučera,204,2
460558621177512,Zálohujme.cz,Zálohujme,191,2
215661292342258,Praha - město pro život,Praha - město pro život,189,2
40583438943,NESEHNUTÍ,NESEHNUTÍ,189,1
257529307701966,Jiří Pospíšil,TOP 09,184,2
2106629662903134,Brno Brňankám a Brňanům,Brno Brňankám a Brňanům,184,2
799083753454179,Voxpot,Voxpot z. ú.,183,4
378827025796132,Peak.cz,Peak.cz,181,8
413476830191,Prague Security Studies Institute,Prague Security Studies Institute,171,3
551976351670874,Zdeněk Hraba,Zdeněk Hraba - senátor,166,4
122414944594991,"Chrenek, Toman, Kotrba advokátní kancelář","TOMAN & PARTNEŘI advokátní kancelář, s.r.o.",158,2
106901094332851,Recykluj - nespaluj,Recykluj - nespaluj hys,158,2
1956144064659620,BlueTV,Aliance pro budoucnost,158,2
201535993705342,Radim Sršeň,Radim Sršeň,158,2
397919187215,Evropská komise v ČR,Evropská komise v ČR,155,1
1104866262972886,Michal Šmarda • Sociální demokracie,Česká strana sociálně demokratická,153,1
2068226376787023,Piráti Praha 12,Česká pirátská strana,147,1
385939388500265,Domácí péče Včelka,Domácí péče Včelka,143,3
284944781875,EURACTIV.cz,EURACTIV.cz,136,5
114870579921673,Top texty,Top texty,133,1
1408993342760508,Město Louny,These ads ran without a disclaimer,133,1
108256752103532,Josef Soumar - místostarosta Písku,Josef Soumar - místostarosta Písku,133,1
111152388465014,Ivana Solařová - starostka města Znojma,Ivana Solařová - starostka města Znojma,132,3
1410403182565683,Petr Hladík,KDU-ČSL,131,2
1468464403368393,Herbert Pavera - Váš senátor na Opavsku,PRodukujeme s. r. o.,130,4
1468464403368393,Herbert Pavera - Váš senátor na Opavsku,TOP 09,130,2
597980334012769,Svoboda a přímá demokracie Moravskoslezský kraj - SPD,Svoboda a přímá demokracie (SPD),118,1
416190415243,Fakulta životního prostředí - ČZU v Praze,Fakulta životního prostředí,117,6
111630758223843,Čistota vod,"Gymnázium Globe, s.r.o.",114,1
447167062064041,Vladimíra Ludková,CORP Production s.r.o.,113,1
63516779251,Vysoká škola finanční a správní,"Vysoká škola finanční a správní, a.s.",109,1
107473258147235,"Stanislav Nekolný, MBA","Stanislav Nekolný, MBA",107,1
553405241527947,Kancelář architekta města Brna - KAM Brno,Kancelář architekta města Brna,107,1
118714278179442,TOP 09 Nymburk,TOP 09 Nymburk,107,1
1776002445975063,V síti Ivana Langera,RiverSong s.r.o.,104,1
122414944594991,"Chrenek, Toman, Kotrba advokátní kancelář","Chrenek, Toman, Kotrba advokátní kancelář",104,2
343987063337791,CyberBlog,Cyber Security Solutions s.r.o.,101,2
220814337523,Kurzy.cz,"Kurzy.cz, spol. s r.o.",≤100,4
1457454867817679,Kultura pod hvězdami,These ads ran without a disclaimer,≤100,1
280617905401953,Alexandra Udženija,Občanská demokratická strana,≤100,1
198923616951918,"Tomáš Slabihoudek, radní z Osmičky",TOP 09,≤100,1
242117635912490,ODS - Plzeňský kraj,Občanská demokratická strana,≤100,2
105410686588,Piráti Brno,Česká pirátská strana - Jihomoravský kraj,≤100,2
175655605777948,Miloš Vystrčil,Miloš Vystrčil,≤100,2
374351132664486,Metrostav Development,These ads ran without a disclaimer,≤100,1
386408828527231,Mirek Adámek,Mirek Adámek,≤100,1
594426030604429,Martin Procházka,Martin Procházka,≤100,1
252707698079845,Pavel Dobeš • místostarosta Prahy 3,Starostové a nezávislí,≤100,2
289075461571,TOP 09 - Středočeský kraj,TOP 09,≤100,2
453697017993990,Aspen Institute Central Europe,Aspen Institute Central Europe,≤100,1
594860541017109,Michal Fischer - starosta MČ Praha 15,Michal Fischer,≤100,1
104856472333587,"Kateřina Arnotová, zastupitelka HMP",STAROSTOVÉ A NEZÁVISLÍ,≤100,2
124212050978293,Kverulant org,Kverulant org,≤100,2
228361180513562,Deník E15,CZECH NEWS CENTER a. s.,≤100,3
319958294730813,Jihomoravský kraj,Krajský úřad Jihomoravského kraje,≤100,2
983533828348884,Jana Komrsková - náměstkyně pro životní prostředí,Česká pirátská strana - Praha,≤100,1
107996628144164,PRAHA 6 SOBĚ,PRAHA SOBĚ,≤100,2
117823623864,Transparency International ČR,Transparency International ČR,≤100,1
1780099722095158,Filip Chvátal,KDU-ČSL,≤100,1
662196877287140,Tomáš Třetina,PRodukujeme,≤100,1
115602606970,Piráti Plzeňský kraj,Česká pirátská strana - Piráti Plzeňský kraj,≤100,1
178362315106,European Parliament,European Parliament,≤100,4
271054846258904,Praha 3,Městská část Praha 3,≤100,2
100357823081565,Dožínky Ol. kraje,EVENPRO,≤100,1
113743658978459,Meltingpot,Meltingpot,≤100,1
102620981865843,Jana Skopalíková - radní pro životní prostředí a zemědělství,Jana Skopalíková - radní pro životní prostředí a zemědělství,≤100,1
153384318085064,EUROPEUM Institute for European Policy,EUROPEUM Institute for European Policy,≤100,1
1060889564019324,Tomáš Prouza,Commpanions,≤100,1
164024787880257,Adapterra,Nadace Partnerství,≤100,1
952005618247538,Martin Červíček,Martin Červíček,≤100,1
