Location name,Amount spent (USD)
Al Anbar Governorate,108
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,473
Basra Governorate,101
Dhi Qar Governorate,≤100
Diyala Governorate,≤100
Dohuk Governorate,≤100
Erbil Governorate,185
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,≤100
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,148
Saladin Governorate,≤100
Sulaymaniyah Governorate,186
Unknown,≤100
Wasit Governorate,≤100
