Location name,Amount spent (TWD)
Changhua,14999
Chiayi,4457
Hsinchu,7316
Hsinchu City,9289
Hualien,4737
Kaohsiung,38816
Keelung City,6467
Kinmen,663
Lienchiang,≤100
Miaoli,6628
Nantou,4904
New Taipei City,62373
Penghu,863
Pingtung,8783
Taichung,45132
Tainan,23913
Taipei,54146
Taitung,3131
Taoyuan City,35140
Unknown,7605
Yilan,4738
Yunlin,7426
