Location name,Amount spent (EUR)
Alsace,336
Aquitaine,337
Auvergne,≤100
Basse-Normandie,130
Bourgogne,208
Bretagne,317
Centre,246
Champagne-Ardenne,105
Corse,≤100
Franche-Comté,≤100
French Guiana,≤100
Guadeloupe,≤100
Haute-Normandie,247
Languedoc-Roussillon,430
Limousin,≤100
Lorraine,381
Martinique,≤100
Mayotte,≤100
Midi-Pyrénées,276
New Caledonia,≤100
Nord-Pas-de-Calais,341
Pays de la Loire,412
Picardie,141
Poitou-Charentes,139
Provence-Alpes-Côte d'Azur,758
Reunion Island,≤100
Rhône-Alpes,829
Unknown,≤100
Île-de-France,1392
