Location name,Amount spent (PKR)
Azad Kashmir,1303
Balochistan,1848
Federally Administered Tribal Areas,318
Gilgit-Baltistan,723
Islamabad Capital Territory,8705
Khyber Pakhtunkhwa,9675
Punjab,31472
Sindh,12606
