Location name,Amount spent (PKR)
Azad Kashmir,1167
Balochistan,1589
Federally Administered Tribal Areas,340
Gilgit-Baltistan,733
Islamabad Capital Territory,1853
Khyber Pakhtunkhwa,11509
Punjab,32807
Sindh,11412
Unknown,≤100
