Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,184
Apurímac Region,≤100
Arequipa Region,278
Ayacucho Region,111
Cajamarca Region,173
Callao,≤100
Cusco Region,275
Huancavelica Region,≤100
Huánuco Region,106
Ica Region,148
Junín Region,181
La Libertad Region,270
Lambayeque Region,178
Lima Region,1629
Loreto Region,139
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,344
Puno Region,277
San Martín Region,173
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,≤100
Unknown,≤100
