Location name,Amount spent (UYU)
Artigas Department,373
Canelones Department,1053
Cerro Largo Department,391
Colonia Department,1358
Durazno Department,250
Flores Department,115
Florida Department,239
Lavalleja Department,311
Maldonado Department,566
Montevideo Department,4087
Paysandú Department,412
Rivera Department,739
Rocha Department,249
Río Negro Department,226
Salto Department,690
San José Department,250
Soriano Department,330
Tacuarembó Department,343
Treinta y Tres Department,290
Unknown,158
