Location name,Amount spent (UYU)
Artigas Department,≤100
Canelones Department,1095
Cerro Largo Department,≤100
Colonia Department,114
Durazno Department,≤100
Flores Department,≤100
Florida Department,≤100
Lavalleja Department,≤100
Maldonado Department,138
Montevideo Department,1122
Paysandú Department,≤100
Rivera Department,408
Rocha Department,≤100
Río Negro Department,≤100
Salto Department,121
San José Department,≤100
Soriano Department,≤100
Tacuarembó Department,≤100
Treinta y Tres Department,≤100
Unknown,≤100
