Location name,Amount spent (PLN)
Greater Poland Voivodeship,4366
Kuyavian-Pomeranian Voivodeship,2942
Lesser Poland Voivodeship,3708
Lower Silesian Voivodeship,3241
Lublin Voivodeship,2173
Lubusz Voivodeship,3446
Masovian Voivodeship,8091
Opole Voivodeship,1056
Podkarpackie Voivodeship,1848
Podlaskie Voivodeship,1247
Pomeranian Voivodeship,3050
Silesian Voivodeship,4122
Unknown,315
Warmian-Masurian Voivodeship,1511
West Pomeranian Voivodeship,1965
Łódź Voivodeship,3138
Świętokrzyskie Voivodeship,1085
