Location name,Amount spent (IDR)
Aceh,601434
Bali,1292240
Bangka–Belitung Islands,279901
Banten,1978257
Bengkulu,537188
Central Java,6668199
Central Kalimantan,595326
Central Sulawesi,614622
East Java,9257544
East Kalimantan,1027656
East Nusa Tenggara,1527515
Gorontalo,558442
Jakarta,3147387
Jambi,760344
Lampung,1542495
Maluku,419641
North Kalimantan,150060
North Maluku,553831
North Sulawesi,1390074
North Sumatra,3529629
Papua (province),598061
Riau,1814525
Riau Islands Province,657258
South Kalimantan,515701
South Sulawesi,1610552
South Sumatra,1511283
Southeast Sulawesi,554962
Special Region of Yogyakarta,790840
Unknown,698
West Java,8470328
West Kalimantan,1289247
West Nusa Tenggara,1392463
West Papua,280873
West Sulawesi,320044
West Sumatra,847896
