Location name,Amount spent (NGN)
Abia State,111738
Adamawa State,39730
Akwa Ibom State,51877
Anambra State,75956
Bauchi State,25240
Bayelsa State,10975
Benué State,40929
Borno State,30568
Cross River State,31154
Delta State,94884
Ebonyi State,13964
Edo State,81247
Ekiti State,15398
Enugu State,78881
Federal Capital Territory,255204
Gombe State,28101
Imo State,72950
Jigawa State,7368
Kaduna State,113543
Kano State,229924
Katsina State,28579
Kebbi State,7679
Kogi State,28711
Kwara State,53974
Lagos State,592783
Nasarawa State,19296
Niger State,32187
Ogun State,35684
Ondo State,29058
Osun State,32837
Oyo State,157291
Plateau State,90527
Rivers State,131471
Sokoto State,22730
Taraba State,16302
Unknown,646
Yobe State,12365
Zamfara State,10609
