Location name,Amount spent (IDR)
Aceh,1541294
Bali,2438388
Bangka–Belitung Islands,430508
Banten,2584446
Bengkulu,726153
Central Java,7355934
Central Kalimantan,827458
Central Sulawesi,1008394
East Java,8657627
East Kalimantan,1679821
East Nusa Tenggara,1535667
Gorontalo,1232656
Jakarta,7241295
Jambi,780880
Lampung,1659819
Maluku,442576
North Kalimantan,265752
North Maluku,315007
North Sulawesi,1631723
North Sumatra,4894336
Papua (province),775267
Riau,2897287
Riau Islands Province,1111240
South Kalimantan,1947942
South Sulawesi,2603872
South Sumatra,2700614
Southeast Sulawesi,684809
Special Region of Yogyakarta,1454146
Unknown,10873
West Java,10457772
West Kalimantan,1348201
West Nusa Tenggara,1304887
West Papua,407249
West Sulawesi,345009
West Sumatra,1183054
