Location name,Amount spent (JPY)
Aichi Prefecture,53725
Akita Prefecture,1835
Aomori Prefecture,2800
Chiba Prefecture,17510
Ehime Prefecture,3155
Fukui Prefecture,1832
Fukuoka Prefecture,74614
Fukushima Prefecture,3337
Gifu Prefecture,3848
Gunma Prefecture,3457
Hiroshima Prefecture,6749
Hokkaido,11827
Hyōgo Prefecture,15160
Ibaraki Prefecture,5724
Ishikawa Prefecture,2498
Iwate Prefecture,1919
Kagawa Prefecture,2427
Kagoshima Prefecture,2784
Kanagawa Prefecture,44961
Kumamoto Prefecture,5616
Kyoto Prefecture,10044
Kōchi Prefecture,1139
Mie Prefecture,4026
Miyagi Prefecture,11554
Miyazaki Prefecture,2297
Nagano Prefecture,5080
Nagasaki Prefecture,5762
Nara Prefecture,3253
Niigata Prefecture,3717
Okayama Prefecture,4861
Okinawa Prefecture,6879
Osaka Prefecture,32699
Saga Prefecture,18370
Saitama Prefecture,16387
Shiga Prefecture,3194
Shimane Prefecture,4115
Shizuoka Prefecture,10185
Tochigi Prefecture,4002
Tokushima Prefecture,1343
Tokyo,112391
Tottori Prefecture,929
Toyama Prefecture,1873
Unknown,≤100
Wakayama Prefecture,1733
Yamagata Prefecture,1726
Yamaguchi Prefecture,2820
Yamanashi Prefecture,2183
Ōita Prefecture,5142
