Location name,Amount spent (RON)
Alba County,1128
Arad County,636
Argeș County,814
Bacău County,1005
Bihor County,818
Bistrița-Năsăud County,413
Botoșani County,472
Brașov County,1062
Brăila County,379
Bucharest,7033
Buzău County,481
Caraș-Severin County,345
Cluj County,1790
Constanța County,1150
Covasna County,299
Călărași County,327
Dolj County,862
Dâmbovița County,722
Galați County,714
Giurgiu County,280
Gorj County,448
Harghita County,565
Hunedoara County,685
Ialomița County,341
Iași County,1386
Ilfov County,785
Maramureș County,814
Mehedinți County,292
Mureș County,914
Neamț County,851
Olt County,361
Prahova County,1777
Satu Mare County,565
Sibiu County,624
Suceava County,801
Sălaj County,335
Teleorman County,305
Timiș County,1257
Tulcea County,239
Unknown,≤100
Vaslui County,338
Vrancea County,513
Vâlcea County,436
