Location name,Amount spent (MXN)
Aguascalientes,7434
Baja California,25190
Baja California Sur,4034
Campeche,19177
Chiapas,13355
Chihuahua,38611
Coahuila de Zaragoza,112315
Colima,4288
Distrito Federal,141106
Durango,7156
Guanajuato,89460
Guerrero,8243
Hidalgo,8099
Jalisco,169090
Michoacán de Ocampo,20875
Morelos,16274
Nayarit,6471
Nuevo León,107556
Oaxaca,10155
Puebla,28443
Querétaro Arteaga,30656
Quintana Roo,49936
San Luis Potosi,20684
Sinaloa,9314
Sonora,25152
State of Mexico,191714
Tabasco,6346
Tamaulipas,18472
Tlaxcala,5022
Unknown,≤100
Veracruz,26486
Yucatán,17825
Zacatecas,4704
