Location name,Amount spent (USD)
Al Anbar Governorate,≤100
Al-Qādisiyyah Governorate,≤100
Babil Governorate,≤100
Baghdad Governorate,529
Basra Governorate,136
Dhi Qar Governorate,103
Diyala Governorate,≤100
Dohuk Governorate,159
Erbil Governorate,310
Halabja Governorate,≤100
Karbala Governorate,≤100
Kirkuk Governorate,102
Maysan Governorate,≤100
Muthanna Governorate,≤100
Najaf Governorate,≤100
Nineveh Governorate,161
Saladin Governorate,≤100
Sulaymaniyah Governorate,338
Unknown,≤100
Wasit Governorate,≤100
