Location name,Amount spent (PYG)
Alto Paraguay Department,573
Alto Paraná Department,235714
Amambay Department,10916
Asunción,171229
Boquerón department,3862
Caaguazú Department,119524
Caazapá Department,5803
Canindeyú Department,9817
Central Department,309007
Concepción Department (Paraguay),12611
Cordillera Department,26113
Guairá Department,12326
Itapúa Department,41258
Misiones Department,8850
Paraguarí Department,12358
Presidente Hayes Department,29661
San Pedro Department,13915
Unknown,1109
Ñeembucú Department,2774
