Location name,Amount spent (AUD)
Australian Capital Territory,1041
Jervis Bay Territory,≤100
New South Wales,40476
Northern Territory,435
Queensland,11506
South Australia,4953
Tasmania,1494
Unknown,≤100
Victoria,13047
Western Australia,6488
