Location name,Amount spent (PEN)
Amazonas Region,≤100
Ancash Region,246
Apurímac Region,≤100
Arequipa Region,261
Ayacucho Region,147
Cajamarca Region,220
Callao,101
Cusco Region,262
Huancavelica Region,≤100
Huánuco Region,130
Ica Region,218
Junín Region,254
La Libertad Region,322
Lambayeque Region,253
Lima Region,1736
Loreto Region,190
Madre de Dios Region,≤100
Moquegua Region,≤100
Pasco Region,≤100
Piura Region,1519
Puno Region,284
San Martín Region,177
Tacna Region,≤100
Tumbes Region,≤100
Ucayali Region,151
Unknown,≤100
