Location name,Amount spent (EUR)
Carinthia Statistical Region,≤100
Central Sava Statistical Region,≤100
Central Slovenia Statistical Region,194
Coastal–Karst Statistical Region,≤100
Drava Statistical Region,≤100
Goriška Statistical Region,≤100
Littoral–Inner Carniola Statistical Region,≤100
Lower Sava Statistical Region,≤100
Mura Statistical Region,≤100
Savinja Statistical Region,≤100
Southeast Slovenia Statistical Region,≤100
Unknown,≤100
Upper Carniola Statistical Region,≤100
