Location name,Amount spent (UYU)
Artigas Department,289
Canelones Department,1500
Cerro Largo Department,279
Colonia Department,427
Durazno Department,160
Flores Department,≤100
Florida Department,170
Lavalleja Department,160
Maldonado Department,618
Montevideo Department,8837
Paysandú Department,6590
Rivera Department,604
Rocha Department,213
Río Negro Department,194
Salto Department,547
San José Department,211
Soriano Department,172
Tacuarembó Department,224
Treinta y Tres Department,259
Unknown,≤100
